file,pointer,navStyle,currentSource,navMode,fileName,pathOverride,confidence,note
lib/stac/tobank/flows/cartable/json/cartable_detail.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/cartable/json/cartable_intro.json,/child/body/child/children[3]/child/children[0]/children[1]/child/child/child/children[0]/child/children[0]/child/children[2]/child/onTap/actions[1],,routeName=cartable_detail,dart,cartable_detail,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/cartable/json/cartable_intro.json,/child/body/child/children[3]/child/children[0]/children[1]/child/child/child/children[1]/child/children[0]/child/children[2]/child/onTap/actions[1],,routeName=cartable_detail,dart,cartable_detail,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/cartable/json/cartable_intro.json,/child/body/child/children[3]/child/children[0]/children[1]/child/child/child/children[1]/child/children[2]/child/children[2]/child/onTap/actions[1],,routeName=cartable_detail,dart,cartable_detail,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/cartable/json/cartable_intro.json,/child/body/child/children[3]/child/children[0]/children[1]/child/child/child/children[1]/child/children[4]/child/children[2]/child/onTap/actions[1],,routeName=cartable_detail,dart,cartable_detail,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/cartable/json/cartable_intro.json,/child/body/child/children[3]/child/children[1]/child/child/children[0]/child/children[2]/child/children[0]/child/onTap/actions[1],,routeName=cartable_detail,dart,cartable_detail,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/charge/json/charge_add_sim.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_add_sim.json,/child/body/children[0]/child/child/children[2]/child/child/onPressed/actions[3],push,routeName=charge_package_list,dart,charge_package_list,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/charge/json/charge_add_sim.json,/child/body/children[0]/child/child/children[3]/child/child/onPressed/actions[1]/sheet/child/children[6]/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_add_sim.json,/child/body/children[0]/child/child/children[4]/child/child/onPressed/sheet/child/children[12]/onPressed/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_add_sim.json,/child/body/children[0]/child/child/children[4]/child/child/onPressed/sheet/child/children[12]/onPressed/actions[1]/sheet/child/children[10]/onPressed/actions[3],push,routeName=charge_package_list,dart,charge_package_list,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[0]/child/child/onTap/actions[1]/sheet/child/children[12]/child/child/onPressed/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[0]/child/child/onTap/actions[1]/sheet/child/children[12]/child/child/onPressed/actions[2],push,routeName=charge_payment,dart,charge_payment,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[0]/child/child/onTap/actions[1]/sheet/child/children[12]/replacement/onPressed/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[0]/child/child/onTap/actions[1]/sheet/child/children[12]/replacement/onPressed/actions[2],push,routeName=charge_payment,dart,charge_payment,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[0]/child/child/onLongPress/actions[1]/sheet/child/children[7]/onTap/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[0]/child/child/onLongPress/actions[1]/sheet/child/children[7]/onTap/actions[1]/sheet/child/child/children[8]/onPressed/actions[1],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[0]/child/child/onLongPress/actions[1]/sheet/child/children[9]/onTap/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[0]/child/child/onLongPress/actions[1]/sheet/child/children[11]/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[1]/child/child/onTap/actions[1]/sheet/child/children[12]/child/child/onPressed/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[1]/child/child/onTap/actions[1]/sheet/child/children[12]/child/child/onPressed/actions[2],push,routeName=charge_payment,dart,charge_payment,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[1]/child/child/onTap/actions[1]/sheet/child/children[12]/replacement/onPressed/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[1]/child/child/onTap/actions[1]/sheet/child/children[12]/replacement/onPressed/actions[2],push,routeName=charge_payment,dart,charge_payment,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[1]/child/child/onLongPress/actions[1]/sheet/child/children[7]/onTap/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[1]/child/child/onLongPress/actions[1]/sheet/child/children[7]/onTap/actions[1]/sheet/child/child/children[8]/onPressed/actions[1],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[1]/child/child/onLongPress/actions[1]/sheet/child/children[9]/onTap/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[1]/child/child/onLongPress/actions[1]/sheet/child/children[11]/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[2]/child/child/onTap/actions[1]/sheet/child/children[12]/child/child/onPressed/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[2]/child/child/onTap/actions[1]/sheet/child/children[12]/child/child/onPressed/actions[2],push,routeName=charge_payment,dart,charge_payment,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[2]/child/child/onTap/actions[1]/sheet/child/children[12]/replacement/onPressed/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[2]/child/child/onTap/actions[1]/sheet/child/children[12]/replacement/onPressed/actions[2],push,routeName=charge_payment,dart,charge_payment,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[2]/child/child/onLongPress/actions[1]/sheet/child/children[7]/onTap/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[2]/child/child/onLongPress/actions[1]/sheet/child/children[7]/onTap/actions[1]/sheet/child/child/children[8]/onPressed/actions[1],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/charge/json/charge_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[2]/child/child/onLongPress/actions[1]/sheet/child/children[9]/onTap/actions[0],pop,pop,,,,skip,no source / pop
